id,@timestamp,bytes_in,bytes_out,client_ip,client_port,dest_ip,status
1,2017-11-10T21:15:54Z,47,388,10.0.1.1,9152,172.27.1.129,OK
2,2017-11-10T21:15:39Z,29,374,10.0.1.1,31693,172.27.1.123,OK
3,2017-11-10T21:15:39Z,35,303,10.0.1.1,23625,172.27.1.113,OK
4,2017-11-10T21:15:39Z,36,312,10.0.1.1,9932,172.27.1.116,OK
5,2017-11-10T21:15:40Z,35,344,10.0.1.1,22695,172.27.1.149,OK
6,2017-11-10T21:15:40Z,31,503,10.0.1.1,59811,172.27.1.122,OK
7,2017-11-10T21:15:40Z,35,458,10.0.1.7,57372,172.27.1.140,OK
8,2017-11-10T21:15:41Z,35,281,10.0.1.8,17370,,OK
9,2017-11-10T21:15:41Z,46,231,10.0.1.9,65004,,OK
10,2017-11-10T20:36:07Z,40,506,10.0.1.10,22661,,OK
11,2017-11-10T20:36:08Z,34,471,10.0.1.11,16752,172.27.1.131,OK
12,2017-11-10T20:36:07Z,39,503,10.0.1.12,19479,172.27.1.103,OK
13,2017-11-10T20:36:07Z,29,502,10.0.1.13,2326,172.27.1.139,OK
14,2017-11-10T20:36:15Z,35,280,10.0.1.13,51758,172.27.1.129,OK
15,2017-11-10T20:36:15Z,38,225,,22994,172.27.1.139,OK
16,2017-11-10T20:35:54Z,35,326,,5505,172.27.1.120,OK
17,2017-11-10T20:35:54Z,46,466,10.0.1.13,3666,172.27.1.103,OK
18,2017-11-10T20:35:55Z,42,238,10.0.1.13,23791,172.27.1.111,OK
19,2017-11-10T17:54:43Z,16,,10.0.1.13,,fe80::86ba:3bff:fe05:c3f3,OK
20,2017-11-10T23:23:24Z,40,,10.0.1.199,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
21,2017-11-10T17:54:59Z,24,,10.0.1.222,,fe80::a65e:60ff:fee8:fee9,OK
22,2017-11-10T21:13:27Z,20,,10.0.1.166,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
23,2017-11-10T22:37:41Z,24,,,,2001:cafe::d46a:9bdc:8126:b00b,OK
24,2017-11-10T20:34:43Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
25,2017-11-10T23:30:46Z,40,,10.0.1.199,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
26,2017-11-10T21:13:16Z,20,,,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
27,2017-11-10T23:36:32Z,0,128,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
28,2017-11-10T23:36:33Z,40,,10.0.1.199,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
29,2017-11-10T20:35:26Z,20,,10.0.1.166,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
30,2017-11-10T23:36:41Z,8,,,,2001:cafe::13e1:16fc:8726:1bf8,OK
31,2017-11-10T23:56:36Z,8,,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
32,2017-11-10T20:29:25Z,32,,10.0.1.177,59769,172.20.10.1,Error
33,2017-11-10T21:35:01Z,20,,10.0.1.166,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
34,2017-11-10T21:12:17Z,20,,10.0.1.166,,2001:cafe::ff07:bdcc:bc59:ff9e,OK
35,2017-11-10T23:17:14Z,40,,10.0.1.199,,2001:cafe::ff07:bdcc:bc59:ff9d,OK
36,2017-11-10T23:28:11Z,8,,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
37,2017-11-10T22:36:27Z,8,,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
38,2017-11-10T20:35:55Z,36,281,,58533,172.27.1.1,OK
39,2017-11-10T20:35:55Z,25,273,,39211,,OK
40,2017-11-10T20:35:55Z,34,253,,37971,172.27.1.1,OK
41,2017-11-10T20:35:55Z,41,503,,47831,172.27.1.1,OK
42,2017-11-10T21:34:49Z,28,,,,27.58.6.220,Error
43,2017-11-10T20:35:55Z,28,206,10.0.1.200,31000,172.27.1.1,OK
44,2017-11-10T20:14:04Z,8,,10.0.1.201,,2001:cafe::13e1:16fc:8726:1bf8,OK
45,2017-11-10T19:38:06Z,37,239,10.0.1.202,3577,172.27.1.1,OK
46,2017-11-10T21:14:18Z,8,,10.0.1.203,,2001:cafe::13e1:16fc:8726:1bf8,OK
47,2017-11-10T20:35:56Z,34,202,10.0.1.204,49112,172.27.1.1,OK
48,2017-11-10T20:53:05Z,8,,10.0.1.205,,2001:cafe::13e1:16fc:8726:1bf8,OK
49,2017-11-10T21:25:42Z,8,,10.0.1.206,,2001:cafe::13e1:16fc:8726:1bf9,OK
50,2017-11-10T21:14:44Z,8,,10.0.1.207,,2001:cafe::13e1:16fc:8726:1bf4,OK
51,2017-11-10T21:28:34Z,8,,10.0.1.208,,2001:cafe::13e1:16fc:8726:1bf3,OK
52,2017-11-10T20:35:55Z,34,227,,63238,172.27.1.1,OK
53,2017-11-10T20:15:24Z,8,,,,2001:cafe::13e1:16fc:8726:1bf8,OK
54,2017-11-10T20:35:57Z,37,239,,61337,172.27.1.1,OK
55,2017-11-10T17:14:10Z,16,,10.0.1.222,,2001:cafe::a98d:374:79e4:4865,OK
56,2017-11-10T20:35:57Z,38,476,10.0.1.200,53720,172.27.1.1,OK
57,2017-11-10T23:22:13Z,8,,10.0.1.201,,2001:cafe::13e1:16fc:8726:1bf8,OK
58,2017-11-10T20:32:57Z,8,,10.0.1.202,,2001:cafe::13e1:16fc:8726:1bf7,OK
59,2017-11-10T21:24:00Z,8,,10.0.1.203,,2001:cafe::13e1:16fc:8726:1bf6,OK
60,2017-11-10T20:35:56Z,32,503,10.0.1.204,19382,172.27.1.1,OK
61,2017-11-10T23:43:10Z,0,,10.0.1.205,,2001:cafe::13e1:16fc:8726:1bf8,OK
62,2017-11-10T20:35:57Z,30,169,10.0.1.206,47532,172.27.1.1,OK
63,2017-11-10T20:21:58Z,20,,10.0.1.207,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
64,2017-11-10T20:35:57Z,41,271,10.0.1.208,16227,,OK
65,2017-11-10T20:33:06Z,28,,10.0.1.166,,172.27.1.1,Error
66,2017-11-10T20:35:57Z,33,185,,28928,172.27.1.1,OK
67,2017-11-10T20:26:21Z,20,,,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
68,2017-11-10T21:23:25Z,20,,,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
69,2017-11-10T21:23:54Z,8,,10.0.1.166,,2001:cafe::13e1:16fc:8726:1bf8,OK
70,2017-11-10T20:35:57Z,35,234,10.0.1.166,54994,172.27.1.1,OK
71,2017-11-10T00:27:03Z,48,,10.0.1.122,,2001:cafe::470f:60b7:f84a:25b6,OK
72,2017-11-10T00:27:46Z,48,,10.0.1.122,,2001:cafe::470f:60b7:f84a:25b6,OK
73,2017-11-10T20:35:58Z,35,223,,20163,172.27.1.1,OK
74,2017-11-10T20:35:57Z,32,501,10.0.1.166,51275,172.27.1.1,OK
75,2017-11-10T22:27:09Z,20,,10.0.1.199,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
76,2017-11-10T20:35:58Z,45,493,10.0.1.166,1193,172.27.1.1,OK
77,2017-11-10T22:26:44Z,20,,10.0.1.199,,2001:cafe::ff07:bdcc:bc59:ff9f,OK
78,2017-11-10T22:27:31Z,8,,10.0.1.199,,2001:cafe::13e1:16fc:8726:1bf8,OK
79,2017-11-10T20:35:52Z,47,246,,24564,172.27.1.1,OK
80,2017-11-10T00:00:22Z,48,,10.0.1.122,,2001:cafe::470f:60b7:f84a:25b6,OK
81,2017-11-10T20:35:52Z,37,420,10.0.1.166,40542,172.27.1.1,OK
82,2017-11-10T00:01:20Z,48,,10.0.1.122,,2001:cafe::470f:60b7:f84a:25b6,OK
83,2017-11-10T00:01:04Z,48,,10.0.1.122,,2001:cafe::470f:60b7:f84a:25b6,OK
84,2017-11-10T00:32:48Z,48,,10.0.1.122,,2001:cafe::470f:60b7:f84a:25b5,OK
85,2017-11-10T00:01:45Z,48,,10.0.1.122,,2001:cafe::470f:60b7:f84a:25b4,OK
86,2017-11-10T20:36:08Z,38,509,,61220,172.27.1.1,OK
87,2017-11-10T21:17:37Z,38,226,10.0.0.144,26602,,OK
88,2017-11-10T20:06:49Z,30,,10.0.0.147,53240,90.128.199.24,Error
89,2017-11-10T21:17:37Z,44,284,10.0.0.118,49479,172.27.1.1,OK
90,2017-11-10T19:51:38Z,28,,10.0.0.130,,203.131.98.151,Error
91,2017-11-10T19:51:38Z,28,,10.0.0.107,,172.20.10.8,Error
92,2017-11-10T20:06:50Z,34,215,10.0.0.113,25162,90.128.199.24,OK
93,2017-11-10T21:17:46Z,33,185,10.0.0.129,63982,172.27.1.1,OK
94,2017-11-10T19:51:38Z,28,,10.0.0.130,,203.131.98.151,Error
95,2017-11-10T21:17:46Z,28,321,10.0.0.105,4292,172.27.1.1,OK
96,2017-11-10T00:04:50Z,48,,10.0.0.109,,2001:cafe::470f:60b7:f84a:25b6,OK
97,2017-11-10T21:17:48Z,30,280,10.0.0.145,57783,172.27.1.1,OK
98,2017-11-10T21:12:24Z,74,90,10.0.0.134,57203,172.20.10.1,OK
99,2017-11-10T21:17:37Z,39,512,10.0.0.128,29333,,OK
100,2017-11-10T03:21:36Z,64,183,10.0.0.129,4541,172.16.1.1,OK
101,2017-11-10T23:22:36Z,,,10.0.2.129,4541,172.20.11.1,OK
