id,@timestamp,bytes_in,bytes_out,status
1,2017-11-10T21:15:54Z,4348801185987554667,12749081495402663265,OK
2,2017-11-10T21:15:39Z,11054572642507476486,2215793005711196537,OK
3,2017-11-10T21:15:39Z,7239423344688551324,4747671420480199905,OK
4,2017-11-10T21:15:39Z,12880875341157998416,10347160802894727455,OK
5,2017-11-10T21:15:40Z,6480569113728286781,4628689249901172357,OK
6,2017-11-10T21:15:40Z,8847365258155648277,18107197698386620672,OK
7,2017-11-10T21:15:40Z,18081123477485622121,6254036056888007861,OK
8,2017-11-10T21:15:41Z,17159009460398071592,6041947699951197416,OK
9,2017-11-10T21:15:41Z,18317075104972913640,3738987414350619907,OK
10,2017-11-10T20:36:07Z,9223372036854775807,13014552081688587417,OK
11,2017-11-10T20:36:08Z,10618481193158417699,7645257133789254601,OK
12,2017-11-10T20:36:07Z,14243423136348863449,1851693232606252132,OK
13,2017-11-10T20:36:07Z,8014838889043461601,12855878692699288887,OK
14,2017-11-10T20:36:15Z,9704166250476073712,9243820354371174974,OK
15,2017-11-10T20:36:15Z,16673466483681919036,17281501450843634251,OK
16,2017-11-10T20:35:54Z,11414099303186823563,4552407785188434877,OK
17,2017-11-10T20:35:54Z,9614024902524991937,583785103161450865,OK
18,2017-11-10T20:35:55Z,2703254959364209157,15688732125935676003,OK
19,2017-11-10T17:54:43Z,16907772202142018796,1978055896356244912,OK
20,2017-11-10T23:23:24Z,18446744073709551614,9891957732954625161,OK
21,2017-11-10T17:54:59Z,18098466156271475039,10560599221675458546,OK
22,2017-11-10T21:13:27Z,12113814789427553914,17695317925249333633,OK
23,2017-11-10T22:37:41Z,369412756671598363,4454824974559554214,OK
24,2017-11-10T20:34:43Z,17764691215469285192,751496841062464739,OK
25,2017-11-10T23:30:46Z,316080452389500167,13471731928228498458,OK
26,2017-11-10T21:13:16Z,3987249898147090269,857017108209908030,OK
27,2017-11-10T23:36:32Z,9343007301895818617,13652755194722568502,OK
28,2017-11-10T23:36:33Z,12951716972543168268,9336652471323200906,OK
29,2017-11-10T20:35:26Z,16002960716282089759,6754707638562449159,OK
30,2017-11-10T23:36:41Z,18446744073709550591,14393839423240122480,OK
31,2017-11-10T23:56:36Z,5495907774457032585,8384790841458113028,OK
32,2017-11-10T20:29:25Z,905851433235877972,11682551086136399874,Error
33,2017-11-10T21:35:01Z,4368413537705409055,10386906319745215430,OK
34,2017-11-10T21:12:17Z,7953313938735885073,14008282674840239286,OK
35,2017-11-10T23:17:14Z,9188929021194043442,991636820083925493,OK
36,2017-11-10T23:28:11Z,13875498092704386047,17953153966527637143,OK
37,2017-11-10T22:36:27Z,8156660980420095219,901610289258538340,OK
38,2017-11-10T20:35:55Z,2408213296071189837,419872666232023984,OK
39,2017-11-10T20:35:55Z,17460378829280278708,10724795375261191248,OK
40,2017-11-10T20:35:55Z,18446744073709551614,14524142879756567901,OK
41,2017-11-10T20:35:55Z,,,Error
42,2017-11-10T21:34:49Z,154551962150890561,4317649615355527138,Error
43,2017-11-10T20:35:55Z,6713823401157015713,768392740554438381,OK
44,2017-11-10T20:14:04Z,13007085541148329579,1262767764958640849,OK
45,2017-11-10T19:38:06Z,4008445367955620676,2444837981761911481,OK
46,2017-11-10T21:14:18Z,9056948257586320738,3660006000364826492,OK
47,2017-11-10T20:35:56Z,10640542847470647209,3071012467454913482,OK
48,2017-11-10T20:53:05Z,14463699407888333801,16193000254773667372,OK
49,2017-11-10T21:25:42Z,4691003749418709874,16735032755695343779,OK
50,2017-11-10T21:14:44Z,18446744073709551615,8359170160363687272,OK
51,2017-11-10T21:28:34Z,10414368669933920698,17857609920324506371,OK
52,2017-11-10T20:35:55Z,14591698995327831783,837800054257171070,OK
53,2017-11-10T20:15:24Z,9149768745019330607,9934783425401329847,OK
54,2017-11-10T20:35:57Z,5826090293715995525,13263580863583654980,OK
55,2017-11-10T17:14:10Z,15352019942832250739,1498178946494790227,OK
56,2017-11-10T20:35:57Z,9732690250707058359,2520919358333960813,OK
57,2017-11-10T23:22:13Z,8914368988247035466,16187631537609304549,OK
58,2017-11-10T20:32:57Z,8420006392678593250,14938622925960605968,OK
59,2017-11-10T21:24:00Z,17056885385468285787,9973198429366930442,OK
60,2017-11-10T20:35:56Z,9223372036854775808,6620615504579533702,OK
61,2017-11-10T23:43:10Z,2390976293435536689,16020561580624977312,OK
62,2017-11-10T20:35:57Z,10993546521190430203,18184253384683076090,OK
63,2017-11-10T20:21:58Z,5246566629176459718,9382204513185396493,OK
64,2017-11-10T20:35:57Z,9983398877364735609,10626289664367265415,OK
65,2017-11-10T20:33:06Z,5480608687137202404,6895880056122579688,Error
66,2017-11-10T20:35:57Z,7538807943450220608,11745980216826561015,OK
67,2017-11-10T20:26:21Z,17067060651018256448,1722789377000665830,OK
68,2017-11-10T21:23:25Z,16873365461162643186,10056378788277261033,OK
69,2017-11-10T21:23:54Z,9991932520184465636,16110121334900810541,OK
70,2017-11-10T20:35:57Z,0,2507200025082562692,OK
71,2017-11-10T00:27:03Z,0,18223615477147360166,OK
72,2017-11-10T00:27:46Z,0,11206857258468587792,OK
73,2017-11-10T20:35:58Z,13986802678251316321,1330575423003442317,OK
74,2017-11-10T20:35:57Z,13922094693483143156,14343149449348005776,OK
75,2017-11-10T22:27:09Z,13999070515664268533,8422074124513216267,OK
76,2017-11-10T20:35:58Z,15968566213936682639,3784845108080773823,OK
77,2017-11-10T22:26:44Z,1729864283282545225,11105009496753939058,OK
78,2017-11-10T22:27:31Z,14241624006161076477,11563896463355414928,OK
79,2017-11-10T20:35:52Z,2294690022638798960,14564159158999105001,OK
80,2017-11-10T00:00:22Z,0,11060623717086222747,OK
81,2017-11-10T20:35:52Z,7470203340634956368,7490193999241578548,OK
82,2017-11-10T00:01:20Z,74330435873664882,4875216609683497742,OK
83,2017-11-10T00:01:04Z,9636626466125797351,14208813483941526550,OK
84,2017-11-10T00:32:48Z,11949176856304796477,8190769023162854115,OK
85,2017-11-10T00:01:45Z,754822992931077409,12647826153259487490,OK
86,2017-11-10T20:36:08Z,16424089095262982944,12394320926003300611,OK
87,2017-11-10T21:17:37Z,10580536762493152413,13605535835272740587,OK
88,2017-11-10T20:06:49Z,195161570976258241,15395084776572180858,Error
89,2017-11-10T21:17:37Z,15084788733189711518,6353233118260828721,OK
90,2017-11-10T19:51:38Z,,,Error
91,2017-11-10T19:51:38Z,11628588779507401305,8500236459902170712,Error
92,2017-11-10T20:06:50Z,2706408999083639864,594246218266628121,OK
93,2017-11-10T21:17:46Z,9007528787465012783,15931740851225178582,OK
94,2017-11-10T19:51:38Z,18345360876889252152,16119381686035586648,Error
95,2017-11-10T21:17:46Z,2788944430410706777,11087293691148056886,OK
96,2017-11-10T00:04:50Z,9932469097722733505,14925592145374204307,OK
97,2017-11-10T21:17:48Z,11620953158540412267,3809712277266935082,OK
98,2017-11-10T21:12:24Z,3448205404634246112,5409549730889481641,OK
99,2017-11-10T21:17:37Z,1957665857956635540,352442273299370793,OK
100,2017-11-10T03:21:36Z,16462768484251021236,15616395223975497926,OK
101,2017-11-10T23:22:36Z,,,Error
